application_id,applicant_id,employment_id,contact_info_id,next_of_kin_id,application_date,loan_type,loan_amount_requested_usd,loan_purpose,repayment_tenure_months
USLW-APP-20240805-434,Ap748531,Em748531,Ci748531,Nk748531,2024-08-05,Small Business,105555.0,Equipment Purchase,38.0
USLW-APP-20250328-191,Ap351995,Em351995,Ci351995,Nk351995,2025-03-28,Personal,23405.0,Vacation,24.0
USLW-APP-20241011-581,Ap778843,Em778843,Ci778843,Nk778843,2024-10-11,Personal,4009.0,Debt Consolidation,21.0
USLW-APP-20250402-765,Ap672843,Em672843,Ci672843,Nk672843,2025-04-02,Small Business,129166.0,Working Capital,60.0
USLW-APP-20241227-316,Ap356508,Em356508,Ci356508,Nk356508,2024-12-27,Small Business,384960.0,Expansion,65.0
USLW-APP-20240909-340,Ap903591,Em903591,Ci903591,Nk903591,2024-09-09,Personal,19327.0,Education,38.0
USLW-APP-20241102-314,Ap996942,Em996942,Ci996942,Nk996942,2024-11-02,Mortgage,158279.0,Home Purchase,354.0
USLW-APP-20241003-717,Ap206530,Em206530,Ci206530,Nk206530,2024-10-03,Personal,26448.0,Medical Expenses,26.0
USLW-APP-20250123-708,Ap704365,Em704365,Ci704365,Nk704365,2025-01-23,Mortgage,361836.0,Refinance,281.0
USLW-APP-20250126-171,Ap922352,Em922352,Ci922352,Nk922352,2025-01-26,Small Business,237446.0,Working Capital,30.0
USLW-APP-20241210-385,Ap560337,Em560337,Ci560337,Nk560337,2024-12-10,Mortgage,68720.0,Refinance,242.0
USLW-APP-20240527-927,Ap824839,Em824839,Ci824839,Nk824839,2024-05-27,Personal,39307.0,Home Improvement,33.0
USLW-APP-20240406-516,Ap905889,Em905889,Ci905889,Nk905889,2024-04-06,Personal,17747.0,Vacation,60.0
USLW-APP-20240525-822,Ap559773,Em559773,Ci559773,Nk559773,2024-05-25,Personal,29983.0,Education,22.0
USLW-APP-20240511-394,Ap308261,Em308261,Ci308261,Nk308261,2024-05-11,Small Business,31654.0,Inventory,60.0
USLW-APP-20240720-955,Ap864469,Em864469,Ci864469,Nk864469,2024-07-20,Mortgage,59248.0,Home Purchase,358.0
USLW-APP-20241110-218,Ap441097,Em441097,Ci441097,Nk441097,2024-11-10,Small Business,258357.0,Startup Costs,36.0
USLW-APP-20240619-113,Ap415139,Em415139,Ci415139,Nk415139,2024-06-19,Personal,27310.0,Other,41.0
USLW-APP-20240517-754,Ap271829,Em271829,Ci271829,Nk271829,2024-05-17,Mortgage,706013.0,Home Purchase,338.0
USLW-APP-20240917-842,Ap371836,Em371836,Ci371836,Nk371836,2024-09-17,Mortgage,550907.0,Refinance,355.0
USLW-APP-20240808-656,Ap538974,Em538974,Ci538974,Nk538974,2024-08-08,Personal,42713.0,Other,35.0
USLW-APP-20240618-138,Ap302283,Em302283,Ci302283,Nk302283,2024-06-18,Small Business,168776.0,Expansion,84.0
USLW-APP-20240913-110,Ap296769,Em296769,Ci296769,Nk296769,2024-09-13,Personal,25029.0,Other,16.0
USLW-APP-20241108-249,Ap661353,Em661353,Ci661353,Nk661353,2024-11-08,Mortgage,746906.0,Home Purchase,312.0
USLW-APP-20241214-175,Ap323165,Em323165,Ci323165,Nk323165,2024-12-14,Personal,20301.0,Other,45.0
USLW-APP-20241129-428,Ap723587,Em723587,Ci723587,Nk723587,2024-11-29,Personal,16217.0,Education,17.0
USLW-APP-20240816-447,Ap635822,Em635822,Ci635822,Nk635822,2024-08-16,Mortgage,613929.0,Refinance,331.0
USLW-APP-20240503-601,Ap587879,Em587879,Ci587879,Nk587879,2024-05-03,Personal,44202.0,Education,40.0
USLW-APP-20240815-885,Ap664685,Em664685,Ci664685,Nk664685,2024-08-15,Small Business,381394.0,Inventory,71.0
USLW-APP-20240404-984,Ap882038,Em882038,Ci882038,Nk882038,2024-04-04,Small Business,204610.0,Inventory,37.0
USLW-APP-20240820-764,Ap453531,Em453531,Ci453531,Nk453531,2024-08-20,Small Business,358738.0,Equipment Purchase,42.0
USLW-APP-20241114-932,Ap363160,Em363160,Ci363160,Nk363160,2024-11-14,Personal,35438.0,Home Improvement,22.0
USLW-APP-20241028-162,Ap679879,Em679879,Ci679879,Nk679879,2024-10-28,Mortgage,775445.0,Home Purchase,316.0
USLW-APP-20240608-242,Ap320884,Em320884,Ci320884,Nk320884,2024-06-08,Small Business,182330.0,Startup Costs,34.0
USLW-APP-20240911-657,Ap123247,Em123247,Ci123247,Nk123247,2024-09-11,Personal,39052.0,Debt Consolidation,24.0
USLW-APP-20240609-671,Ap124300,Em124300,Ci124300,Nk124300,2024-06-09,Personal,20415.0,Medical Expenses,58.0
USLW-APP-20250110-654,Ap567281,Em567281,Ci567281,Nk567281,2025-01-10,Personal,6599.0,Other,58.0
USLW-APP-20250306-964,Ap707086,Em707086,Ci707086,Nk707086,2025-03-06,Personal,32519.0,Home Improvement,46.0
USLW-APP-20240923-622,Ap633556,Em633556,Ci633556,Nk633556,2024-09-23,Personal,34447.0,Medical Expenses,39.0
USLW-APP-20250109-121,Ap448951,Em448951,Ci448951,Nk448951,2025-01-09,Auto,7071.0,Refinance,27.0
USLW-APP-20250201-268,Ap374329,Em374329,Ci374329,Nk374329,2025-02-01,Personal,43520.0,Education,18.0
USLW-APP-20240616-870,Ap819064,Em819064,Ci819064,Nk819064,2024-06-16,Personal,7539.0,Vacation,32.0
USLW-APP-20241011-449,Ap842139,Em842139,Ci842139,Nk842139,2024-10-11,Small Business,99549.0,Inventory,83.0
USLW-APP-20250128-116,Ap532315,Em532315,Ci532315,Nk532315,2025-01-28,Small Business,484954.0,Equipment Purchase,53.0
USLW-APP-20240825-691,Ap616588,Em616588,Ci616588,Nk616588,2024-08-25,Personal,36356.0,Other,46.0
USLW-APP-20240409-880,Ap336584,Em336584,Ci336584,Nk336584,2024-04-09,Personal,3425.0,Medical Expenses,34.0
USLW-APP-20240617-137,Ap662332,Em662332,Ci662332,Nk662332,2024-06-17,Personal,31629.0,Education,42.0
USLW-APP-20241006-329,Ap937646,Em937646,Ci937646,Nk937646,2024-10-06,Small Business,137519.0,Expansion,31.0
USLW-APP-20241019-840,Ap476896,Em476896,Ci476896,Nk476896,2024-10-19,Mortgage,883624.0,Home Purchase,326.0
USLW-APP-20241001-616,Ap148984,Em148984,Ci148984,Nk148984,2024-10-01,Mortgage,362496.0,Home Purchase,203.0
USLW-APP-20240406-621,Ap402918,Em402918,Ci402918,Nk402918,2024-04-06,Personal,34470.0,Home Improvement,47.0
USLW-APP-20240704-877,Ap364712,Em364712,Ci364712,Nk364712,2024-07-04,Small Business,404738.0,Expansion,42.0
USLW-APP-20240928-264,Ap220151,Em220151,Ci220151,Nk220151,2024-09-28,Personal,43864.0,Home Improvement,29.0
USLW-APP-20240724-362,Ap555808,Em555808,Ci555808,Nk555808,2024-07-24,Personal,45262.0,Education,21.0
USLW-APP-20250319-863,Ap233767,Em233767,Ci233767,Nk233767,2025-03-19,Mortgage,794258.0,Refinance,343.0
USLW-APP-20240813-348,Ap748663,Em748663,Ci748663,Nk748663,2024-08-13,Small Business,51708.0,Expansion,24.0
USLW-APP-20240701-851,Ap803550,Em803550,Ci803550,Nk803550,2024-07-01,Small Business,84892.0,Working Capital,24.0
USLW-APP-20250224-795,Ap236330,Em236330,Ci236330,Nk236330,2025-02-24,Small Business,101300.0,Expansion,32.0
USLW-APP-20240828-737,Ap580754,Em580754,Ci580754,Nk580754,2024-08-28,Personal,24566.0,Medical Expenses,36.0
USLW-APP-20240511-816,Ap401648,Em401648,Ci401648,Nk401648,2024-05-11,Personal,4625.0,Medical Expenses,57.0
USLW-APP-20240406-800,Ap788519,Em788519,Ci788519,Nk788519,2024-04-06,Personal,31387.0,Vacation,43.0
USLW-APP-20240827-297,Ap113986,Em113986,Ci113986,Nk113986,2024-08-27,Mortgage,883752.0,Home Purchase,337.0
USLW-APP-20240528-211,Ap686146,Em686146,Ci686146,Nk686146,2024-05-28,Mortgage,228855.0,Refinance,259.0
USLW-APP-20240510-222,Ap229312,Em229312,Ci229312,Nk229312,2024-05-10,Personal,44061.0,Home Improvement,36.0
USLW-APP-20250209-962,Ap112666,Em112666,Ci112666,Nk112666,2025-02-09,Personal,27368.0,Debt Consolidation,51.0
USLW-APP-20240405-753,Ap400804,Em400804,Ci400804,Nk400804,2024-04-05,Auto,37321.0,New Car Purchase,71.0
USLW-APP-20240417-498,Ap234633,Em234633,Ci234633,Nk234633,2024-04-17,Small Business,316908.0,Inventory,65.0
USLW-APP-20240607-999,Ap388998,Em388998,Ci388998,Nk388998,2024-06-07,Personal,35171.0,Vacation,23.0
USLW-APP-20240713-370,Ap950937,Em950937,Ci950937,Nk950937,2024-07-13,Personal,38569.0,Debt Consolidation,30.0
USLW-APP-20241003-651,Ap728776,Em728776,Ci728776,Nk728776,2024-10-03,Personal,36155.0,Education,23.0
USLW-APP-20240924-542,Ap807611,Em807611,Ci807611,Nk807611,2024-09-24,Small Business,487414.0,Working Capital,38.0
USLW-APP-20240531-376,Ap384806,Em384806,Ci384806,Nk384806,2024-05-31,Personal,25367.0,Home Improvement,60.0
USLW-APP-20250401-837,Ap894824,Em894824,Ci894824,Nk894824,2025-04-01,Personal,19038.0,Home Improvement,53.0
USLW-APP-20241020-743,Ap130535,Em130535,Ci130535,Nk130535,2024-10-20,Small Business,82548.0,Working Capital,37.0
USLW-APP-20240822-764,Ap475713,Em475713,Ci475713,Nk475713,2024-08-22,Personal,43869.0,Education,36.0
USLW-APP-20241024-686,Ap938688,Em938688,Ci938688,Nk938688,2024-10-24,Personal,44550.0,Home Improvement,31.0
USLW-APP-20240619-179,Ap451279,Em451279,Ci451279,Nk451279,2024-06-19,Small Business,141300.0,Equipment Purchase,47.0
USLW-APP-20240512-844,Ap921654,Em921654,Ci921654,Nk921654,2024-05-12,Small Business,220243.0,Inventory,43.0
USLW-APP-20250322-322,Ap701661,Em701661,Ci701661,Nk701661,2025-03-22,Personal,34703.0,Other,45.0
USLW-APP-20250207-479,Ap747972,Em747972,Ci747972,Nk747972,2025-02-07,Personal,24303.0,Education,58.0
USLW-APP-20240716-838,Ap589570,Em589570,Ci589570,Nk589570,2024-07-16,Small Business,162498.0,Working Capital,35.0
USLW-APP-20240722-271,Ap556551,Em556551,Ci556551,Nk556551,2024-07-22,Personal,47886.0,Debt Consolidation,59.0
USLW-APP-20241128-354,Ap373109,Em373109,Ci373109,Nk373109,2024-11-28,Small Business,413757.0,Working Capital,66.0
USLW-APP-20250325-978,Ap124538,Em124538,Ci124538,Nk124538,2025-03-25,Personal,45628.0,Debt Consolidation,36.0
USLW-APP-20250111-945,Ap994498,Em994498,Ci994498,Nk994498,2025-01-11,Auto,47375.0,New Car Purchase,30.0
USLW-APP-20240910-472,Ap301664,Em301664,Ci301664,Nk301664,2024-09-10,Mortgage,850257.0,Home Purchase,300.0
USLW-APP-20240903-650,Ap591234,Em591234,Ci591234,Nk591234,2024-09-03,Personal,35112.0,Debt Consolidation,44.0
USLW-APP-20241201-401,Ap999684,Em999684,Ci999684,Nk999684,2024-12-01,Mortgage,880294.0,Refinance,285.0
USLW-APP-20250113-661,Ap239182,Em239182,Ci239182,Nk239182,2025-01-13,Personal,35651.0,Home Improvement,58.0
USLW-APP-20240930-712,Ap572525,Em572525,Ci572525,Nk572525,2024-09-30,Small Business,464904.0,Expansion,61.0
USLW-APP-20240620-888,Ap258338,Em258338,Ci258338,Nk258338,2024-06-20,Auto,51152.0,Used Car Purchase,66.0
USLW-APP-20250307-990,Ap284064,Em284064,Ci284064,Nk284064,2025-03-07,Personal,47489.0,Vacation,45.0
USLW-APP-20240514-870,Ap314020,Em314020,Ci314020,Nk314020,2024-05-14,Personal,37374.0,Education,54.0
USLW-APP-20240912-275,Ap723094,Em723094,Ci723094,Nk723094,2024-09-12,Personal,2136.0,Medical Expenses,32.0
USLW-APP-20241022-820,Ap997421,Em997421,Ci997421,Nk997421,2024-10-22,Personal,8259.0,Education,36.0
USLW-APP-20240416-330,Ap715270,Em715270,Ci715270,Nk715270,2024-04-16,Auto,58596.0,Used Car Purchase,57.0
USLW-APP-20250311-608,Ap745914,Em745914,Ci745914,Nk745914,2025-03-11,Small Business,188361.0,Inventory,29.0
USLW-APP-20250120-139,Ap219176,Em219176,Ci219176,Nk219176,2025-01-20,Personal,31886.0,Vacation,16.0
USLW-APP-20240624-112,Ap318126,Em318126,Ci318126,Nk318126,2024-06-24,Mortgage,326504.0,Refinance,248.0
USLW-APP-20240406-357,Ap318969,Em318969,Ci318969,Nk318969,2024-04-06,Mortgage,385146.0,Refinance,201.0
USLW-APP-20250206-386,Ap222409,Em222409,Ci222409,Nk222409,2025-02-06,Mortgage,857300.0,Home Purchase,197.0
USLW-APP-20250201-184,Ap647707,Em647707,Ci647707,Nk647707,2025-02-01,Small Business,321772.0,Inventory,52.0
USLW-APP-20241101-931,Ap353618,Em353618,Ci353618,Nk353618,2024-11-01,Personal,26567.0,Home Improvement,53.0
USLW-APP-20250324-146,Ap869598,Em869598,Ci869598,Nk869598,2025-03-24,Personal,14638.0,Other,52.0
USLW-APP-20240514-852,Ap150015,Em150015,Ci150015,Nk150015,2024-05-14,Small Business,197155.0,Expansion,49.0
USLW-APP-20241031-844,Ap872838,Em872838,Ci872838,Nk872838,2024-10-31,Personal,41295.0,Other,51.0
USLW-APP-20240505-897,Ap222096,Em222096,Ci222096,Nk222096,2024-05-05,Personal,6146.0,Vacation,37.0
USLW-APP-20250104-498,Ap731347,Em731347,Ci731347,Nk731347,2025-01-04,Personal,39789.0,Medical Expenses,26.0
USLW-APP-20240726-840,Ap285340,Em285340,Ci285340,Nk285340,2024-07-26,Personal,36803.0,Debt Consolidation,29.0
USLW-APP-20240608-370,Ap210687,Em210687,Ci210687,Nk210687,2024-06-08,Personal,25735.0,Home Improvement,53.0
USLW-APP-20250329-384,Ap974371,Em974371,Ci974371,Nk974371,2025-03-29,Mortgage,132998.0,Home Purchase,290.0
USLW-APP-20241124-676,Ap511357,Em511357,Ci511357,Nk511357,2024-11-24,Auto,30883.0,Used Car Purchase,33.0
USLW-APP-20250116-633,Ap835716,Em835716,Ci835716,Nk835716,2025-01-16,Personal,15213.0,Vacation,41.0
USLW-APP-20241218-865,Ap205878,Em205878,Ci205878,Nk205878,2024-12-18,Auto,34042.0,Used Car Purchase,65.0
USLW-APP-20240923-455,Ap827270,Em827270,Ci827270,Nk827270,2024-09-23,Personal,45201.0,Education,37.0
USLW-APP-20240624-227,Ap298286,Em298286,Ci298286,Nk298286,2024-06-24,Personal,36764.0,Debt Consolidation,41.0
USLW-APP-20241023-325,Ap873290,Em873290,Ci873290,Nk873290,2024-10-23,Personal,47149.0,Debt Consolidation,13.0
USLW-APP-20241116-612,Ap874684,Em874684,Ci874684,Nk874684,2024-11-16,Small Business,69387.0,Inventory,25.0
USLW-APP-20250131-138,Ap264899,Em264899,Ci264899,Nk264899,2025-01-31,Auto,46598.0,Refinance,61.0
USLW-APP-20241230-578,Ap424767,Em424767,Ci424767,Nk424767,2024-12-30,Personal,32634.0,Education,37.0
USLW-APP-20250201-239,Ap961882,Em961882,Ci961882,Nk961882,2025-02-01,Personal,1228.0,Vacation,24.0
USLW-APP-20250129-701,Ap979858,Em979858,Ci979858,Nk979858,2025-01-29,Personal,10118.0,Vacation,49.0
USLW-APP-20240726-194,Ap479989,Em479989,Ci479989,Nk479989,2024-07-26,Small Business,387791.0,Inventory,78.0
USLW-APP-20240510-893,Ap515515,Em515515,Ci515515,Nk515515,2024-05-10,Personal,47171.0,Vacation,56.0
USLW-APP-20250226-869,Ap143585,Em143585,Ci143585,Nk143585,2025-02-26,Personal,9355.0,Vacation,14.0
USLW-APP-20250210-513,Ap471369,Em471369,Ci471369,Nk471369,2025-02-10,Personal,4162.0,Home Improvement,39.0
USLW-APP-20241211-365,Ap164044,Em164044,Ci164044,Nk164044,2024-12-11,Auto,15105.0,Used Car Purchase,71.0
USLW-APP-20241127-218,Ap542296,Em542296,Ci542296,Nk542296,2024-11-27,Mortgage,930329.0,Home Purchase,209.0
USLW-APP-20241105-997,Ap209556,Em209556,Ci209556,Nk209556,2024-11-05,Small Business,399952.0,Expansion,32.0
USLW-APP-20241204-455,Ap626981,Em626981,Ci626981,Nk626981,2024-12-04,Mortgage,967343.0,Refinance,332.0
USLW-APP-20240718-878,Ap981691,Em981691,Ci981691,Nk981691,2024-07-18,Mortgage,700869.0,Refinance,240.0
USLW-APP-20250208-178,Ap867595,Em867595,Ci867595,Nk867595,2025-02-08,Personal,24046.0,Education,60.0
USLW-APP-20241122-127,Ap300235,Em300235,Ci300235,Nk300235,2024-11-22,Small Business,29827.0,Equipment Purchase,83.0
USLW-APP-20250330-679,Ap125939,Em125939,Ci125939,Nk125939,2025-03-30,Personal,3626.0,Medical Expenses,49.0
USLW-APP-20250319-193,Ap252906,Em252906,Ci252906,Nk252906,2025-03-19,Personal,35549.0,Education,26.0
USLW-APP-20240806-653,Ap642335,Em642335,Ci642335,Nk642335,2024-08-06,Small Business,275179.0,Expansion,53.0
USLW-APP-20241226-727,Ap388249,Em388249,Ci388249,Nk388249,2024-12-26,Personal,47597.0,Other,50.0
USLW-APP-20241001-107,Ap175766,Em175766,Ci175766,Nk175766,2024-10-01,Small Business,194502.0,Working Capital,39.0
USLW-APP-20241121-893,Ap508923,Em508923,Ci508923,Nk508923,2024-11-21,Personal,29990.0,Medical Expenses,45.0
USLW-APP-20240924-158,Ap515192,Em515192,Ci515192,Nk515192,2024-09-24,Small Business,190050.0,Inventory,84.0
USLW-APP-20250302-896,Ap668550,Em668550,Ci668550,Nk668550,2025-03-02,Personal,23834.0,Home Improvement,51.0
USLW-APP-20241010-394,Ap487261,Em487261,Ci487261,Nk487261,2024-10-10,Mortgage,683153.0,Refinance,272.0
USLW-APP-20241014-258,Ap910208,Em910208,Ci910208,Nk910208,2024-10-14,Personal,5100.0,Medical Expenses,38.0
USLW-APP-20240711-359,Ap785440,Em785440,Ci785440,Nk785440,2024-07-11,Mortgage,475812.0,Refinance,320.0
USLW-APP-20250218-661,Ap752664,Em752664,Ci752664,Nk752664,2025-02-18,Personal,26790.0,Education,21.0
USLW-APP-20240423-384,Ap554589,Em554589,Ci554589,Nk554589,2024-04-23,Personal,41453.0,Vacation,49.0
USLW-APP-20240816-180,Ap237848,Em237848,Ci237848,Nk237848,2024-08-16,Small Business,247601.0,Equipment Purchase,42.0
USLW-APP-20240714-177,Ap717075,Em717075,Ci717075,Nk717075,2024-07-14,Mortgage,330862.0,Refinance,320.0
USLW-APP-20240613-304,Ap227948,Em227948,Ci227948,Nk227948,2024-06-13,Personal,4139.0,Debt Consolidation,42.0
USLW-APP-20241231-155,Ap679304,Em679304,Ci679304,Nk679304,2024-12-31,Personal,4412.0,Other,16.0
USLW-APP-20240718-154,Ap502690,Em502690,Ci502690,Nk502690,2024-07-18,Small Business,256174.0,Working Capital,40.0
USLW-APP-20250122-279,Ap599046,Em599046,Ci599046,Nk599046,2025-01-22,Small Business,117700.0,Equipment Purchase,65.0
USLW-APP-20240406-722,Ap551269,Em551269,Ci551269,Nk551269,2024-04-06,Personal,2941.0,Home Improvement,15.0
